ID_TMatrix_V1_Out,TMatrix_ABS_CRS,TMatrix_SCA_CRS,created_at,updated_at,MLink
194,0.0007280638631033251,7.48931818486385e-06,2019-07-16 06:12:28,2019-07-16 06:12:28,194
195,0.00076269802106744,1.4800579376859859e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,195
196,0.01307635555433636,0.0008161935813996747,2019-07-16 06:12:28,2019-07-16 06:12:28,196
197,0.01390145640684426,0.0009422468942130219,2019-07-16 06:12:28,2019-07-16 06:12:28,197
198,0.006134926533309704,0.0003435763028623864,2019-07-16 06:12:28,2019-07-16 06:12:28,198
199,0.003581727610502896,6.187902377530372e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,199
200,0.006650876242470669,0.000192421767385001,2019-07-16 06:12:28,2019-07-16 06:12:28,200
201,0.0012460351732172068,3.81989506405951e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,201
202,0.0032451772824981327,8.651818764949956e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,202
203,0.0013152836087806958,1.663621570224844e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,203
204,0.0019885023790566078,5.590479318474943e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,204
205,0.005793333840021442,0.00029787135239966295,2019-07-16 06:12:28,2019-07-16 06:12:28,205
206,0.0027155291284110218,6.516232190347763e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,206
207,0.0020581774712065447,3.63810117599111e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,207
208,0.006105823599707268,0.00027977062253683544,2019-07-16 06:12:28,2019-07-16 06:12:28,208
209,0.0027689559579965,4.691965215205599e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,209
210,0.0024316823454789646,5.345750658438402e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,210
211,0.002597813327121326,8.168458845291846e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,211
212,0.010175677756347456,0.00043023029620021223,2019-07-16 06:12:28,2019-07-16 06:12:28,212
213,0.003190387697519234,0.00023695382160148374,2019-07-16 06:12:28,2019-07-16 06:12:28,213
214,0.002227981622563326,5.151734118064294e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,214
215,0.009982810847877763,0.00038950318534759933,2019-07-16 06:20:38,2019-07-16 06:20:38,215
216,0.012921163382337578,0.0006796216645677955,2019-07-16 06:20:38,2019-07-16 06:20:38,216
217,0.023700531455294948,0.0018496714390639339,2019-07-16 06:20:38,2019-07-16 06:20:38,217
218,0.014246372586435642,0.0011124341851634593,2019-07-16 06:20:38,2019-07-16 06:20:38,218
219,0.004710617841413593,0.00024215346154068569,2019-07-16 06:20:38,2019-07-16 06:20:38,219
220,0.0023712029396585413,4.806054512931517e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,220
221,0.0042025504956146,0.000227538791236832,2019-07-16 06:20:38,2019-07-16 06:20:38,221
222,0.0028441660227439677,6.166278367633022e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,222
223,0.0007413854147276757,4.2910954671265984e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,223
224,0.005781947393717782,0.00019256419745473572,2019-07-16 06:20:38,2019-07-16 06:20:38,224
225,0.005416544669274905,0.00010715191965709016,2019-07-16 06:20:38,2019-07-16 06:20:38,225
226,0.0030415666458445604,7.756526661836833e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,226
227,0.0054506310822842255,0.00010019664811894789,2019-07-16 06:20:38,2019-07-16 06:20:38,227
228,0.010777454742303672,0.0010424330231972013,2019-07-16 06:20:38,2019-07-16 06:20:38,228
229,0.006492272173389461,0.00015209133854469424,2019-07-16 06:20:38,2019-07-16 06:20:38,229
230,0.004940586267362968,0.00016449506434319862,2019-07-16 06:20:38,2019-07-16 06:20:38,230
231,0.009139638694215427,0.00042788647108374026,2019-07-16 06:20:38,2019-07-16 06:20:38,231
232,0.0028434386099609054,8.686774208152343e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,232
233,0.002079122224436074,5.8808336072063174e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,233
234,0.02022100920681122,0.0015848469835457624,2019-07-16 06:20:38,2019-07-16 06:20:38,234
235,0.007106845911859923,0.00037417918400102507,2019-07-16 06:20:38,2019-07-16 06:20:38,235
236,0.006215296029948074,0.00042323523968454147,2019-07-16 06:20:38,2019-07-16 06:20:38,236
237,0.010303803586750555,0.0007738993989852819,2019-07-16 06:20:38,2019-07-16 06:20:38,237
238,0.0023276808134676777,8.523166800046153e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,238
239,0.0014975775356575838,4.1756260422411186e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,239
240,0.010753130626007957,0.0007168082872831363,2019-07-16 06:20:38,2019-07-16 06:20:38,240
241,0.002868489650527347,0.00010195904227219745,2019-07-16 06:20:38,2019-07-16 06:20:38,241
242,0.004531804748324507,0.00014906847154744487,2019-07-16 06:20:38,2019-07-16 06:20:38,242
243,0.002537955431790442,5.9278652319162354e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,243
244,0.012876879723722198,0.0011086187284289977,2019-07-16 06:20:38,2019-07-16 06:20:38,244
245,0.04000071840297274,0.0028049130090413337,2019-07-16 06:20:38,2019-07-16 06:20:38,245
246,0.0010467499808350634,5.640150454132079e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,246
247,0.0030814890060226114,0.00016373106910503292,2019-07-16 06:20:38,2019-07-16 06:20:38,247
248,0.019900406711931478,0.0020063443270647006,2019-07-16 06:20:38,2019-07-16 06:20:38,248
249,0.0026032567589491192,0.00034361866346520965,2019-07-16 06:20:38,2019-07-16 06:20:38,249
250,0.01677706816802889,0.0013747632373477402,2019-07-16 06:20:38,2019-07-16 06:20:38,250
251,0.021923038763875257,0.002613449062143661,2019-07-16 06:20:38,2019-07-16 06:20:38,251
252,0.015226863023889817,0.0005202803032019607,2019-07-16 06:20:38,2019-07-16 06:20:38,252
253,0.0022784933889187496,3.131346020392922e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,253
254,0.002494535858580863,4.385321872867644e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,254
255,0.00391351915713604,7.755267149462127e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,255
256,0.007309562071657007,0.00035455267299015395,2019-07-16 06:20:38,2019-07-16 06:20:38,256
257,0.0463955853146175,0.0077634200122663,2019-07-16 06:20:38,2019-07-16 06:20:38,257
258,0.00718259686112143,0.00029541273395675133,2019-07-16 06:20:38,2019-07-16 06:20:38,258
259,0.006428818213710337,0.00041435532378997453,2019-07-16 06:20:38,2019-07-16 06:20:38,259
260,0.02329093739644668,0.001476324995620743,2019-07-16 06:20:38,2019-07-16 06:20:38,260
261,0.005524549735392596,0.0002620727861179345,2019-07-16 06:20:38,2019-07-16 06:20:38,261
262,0.002653535952437146,7.251742502461848e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,262
263,0.002532426038250585,0.00026154917483372283,2019-07-16 06:20:38,2019-07-16 06:20:38,263
264,0.010650866166484443,0.0006768198564427679,2019-07-16 06:20:38,2019-07-16 06:20:38,264
265,0.001778777796841037,1.9590690808805833e-05,2019-07-16 06:20:38,2019-07-16 06:20:38,265
266,0.015581271375652204,0.0012112939522579697,2019-07-16 06:20:38,2019-07-16 06:20:38,266
